Entity,Code,Year,Total tree cover loss
World,OWID_WRL,1700,19000000
World,OWID_WRL,1710,19000000
World,OWID_WRL,1720,19000000
World,OWID_WRL,1730,19000000
World,OWID_WRL,1740,19000000
World,OWID_WRL,1750,19000000
World,OWID_WRL,1760,19000000
World,OWID_WRL,1770,19000000
World,OWID_WRL,1780,19000000
World,OWID_WRL,1790,19000000
World,OWID_WRL,1800,19000000
World,OWID_WRL,1800,19000000
World,OWID_WRL,1810,19000000
World,OWID_WRL,1820,19000000
World,OWID_WRL,1830,19000000
World,OWID_WRL,1840,19000000
World,OWID_WRL,1850,19000000
World,OWID_WRL,1860,30000000
World,OWID_WRL,1870,30000000
World,OWID_WRL,1880,30000000
World,OWID_WRL,1890,30000000
World,OWID_WRL,1900,30000000
World,OWID_WRL,1910,30000000
World,OWID_WRL,1920,150000000
World,OWID_WRL,1930,150000000
World,OWID_WRL,1940,150000000
World,OWID_WRL,1950,150000000
World,OWID_WRL,1960,150000000
World,OWID_WRL,1970,150000000
World,OWID_WRL,1980,151000000
World,OWID_WRL,1990,151000000